SpecificHeatCapacity_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,BCCvolume_padiff_composition_average,NdValence_composition_average,IonicRadii_composition_average,HeatCapacityMass_composition_average,MendeleevNumber_composition_average,IsFCC_composition_average,GSenergy_pa_composition_average,NUnfilled_composition_average,HHIr_composition_average,ElasticModulus_composition_average,ElectronAffinity_composition_average,valence_composition_average,BCCmagmom_composition_average,MiracleRadius_composition_average,BCCenergy_pa_composition_average,HeatFusion_composition_average,ThirdIonizationEnergy_composition_average
0.235,1234.93,250.63,-0.13,10.0,1.15,0.235,65.0,1.0,-2.76539356,1.0,1400.0,80.0,125.7,2.0,0.0,144.0,-2.71997917,11.3,34.83
0.32799999999999996,1501.4650000000001,311.96500000000003,0.0325,8.5,0.8999999999999999,0.32799999999999996,61.5,0.5,-4.9228913525,2.0,2050.0,144.0,97.85,2.5,0.8420186,134.5,-4.85003287,13.75,34.165
0.34199999999999997,1707.4650000000001,295.065,-0.075,7.5,0.885,0.34199999999999997,57.0,0.5,-6.13555505,3.5,2750.0,169.5,94.85,4.0,0.0,137.0,-6.112393375,16.15,32.894999999999996
0.31,1296.35,275.565,-0.060000000000000005,10.0,0.94,0.31,64.5,1.0,-3.2230241900000003,1.0,1450.0,102.0,122.0,2.0,0.0,135.0,-3.181433225,12.45,35.83
0.34199999999999997,1522.9650000000001,300.065,-0.065,8.0,0.85,0.34199999999999997,60.0,0.5,-5.52543896,2.5,1400.0,145.5,74.85,4.0,1.0553314,134.5,-5.502731765,12.555,32.7405
0.3575,1376.9650000000001,235.185,-0.0537931035,7.5,0.9099999999999999,0.357,58.5,0.5,-5.89297940517,3.0,1600.0,139.0,62.85,4.5,0.40928645,138.0,-5.795194965,12.105,34.2485
0.3395,1481.4650000000001,314.065,-0.060000000000000005,9.0,0.9199999999999999,0.3395,63.0,1.0,-4.1558590650000005,1.5,1450.0,144.0,118.35,2.5,0.0322836,135.0,-4.0795591049999995,14.39,35.0
0.40149999999999997,1524.4650000000001,277.71500000000003,-0.0825,5.5,0.95,0.40149999999999997,38.0,0.5,-4.525453325,5.0,2950.0,80.0,71.9,2.5,0.0,153.0,-4.446035165,12.7,29.795
0.379,1587.9650000000001,337.91499999999996,0.009999999999999995,6.0,0.8799999999999999,0.3795,54.0,0.5,-5.27031034,4.5,1500.0,95.0,72.85,3.0,0.0,143.0,-5.19062364,12.725000000000001,31.1605
0.362,1708.9650000000001,348.66499999999996,-0.065,6.5,0.845,0.362,55.5,0.5,-5.8523271249999995,4.0,2400.0,104.5,87.85,3.5,0.0,139.0,-5.82961993,16.4,32.07
0.3115,963.8050000000001,182.965,0.035,10.0,0.945,0.3115,67.0,0.5,-2.0026967375,0.5,1650.0,87.5,62.85,2.0,0.0,142.0,-1.9385353349999999,9.184000000000001,37.275999999999996
0.9,933.47,290.8,0.44,0.0,0.54,0.897,73.0,1.0,-3.74542312,5.0,1000.0,70.5,45.0,3.0,0.0,141.0,-3.65018713,10.71,28.447
0.5675,1084.2,270.71500000000003,0.155,5.0,0.845,0.5660000000000001,69.0,1.0,-3.25540834,3.0,1200.0,75.25,85.35,2.5,0.0,142.5,-3.1850831499999996,11.005,31.6385
0.615,1011.735,161.6,-1.3625,5.0,0.56,0.613,78.5,0.5,-4.1981561175,4.0,2500.0,54.75,61.0,4.0,0.0,128.0,-3.93257556,17.575000000000003,28.399
0.514,1135.4,307.615,0.235,5.0,0.6950000000000001,0.513,69.5,1.0,-3.4775578649999996,3.0,1000.0,74.4,133.87,3.0,0.0,142.0,-3.417319975,11.63,14.2235
0.511,738.935,234.9,-1.3,5.0,0.785,0.5095000000000001,79.5,0.5,-3.8595587599999996,4.0,3500.0,52.25,77.5,4.0,0.0,151.5,-3.7727854350000003,10.908000000000001,27.003
0.7735000000000001,1024.2350000000001,222.735,-0.255,0.0,0.77,0.772,40.0,1.0,-2.8468763425,2.5,1250.0,45.75,-55.5,2.5,0.0,171.0,-2.78872317,9.625,39.6775
0.5660000000000001,763.845,195.335,0.2975,5.0,0.745,0.5640000000000001,71.5,0.5,-2.2787986725,2.5,1150.0,66.25,22.5,2.5,0.0,149.0,-2.195263085,8.46,32.963499999999996
0.545,1002.235,302.3,0.035,0.5,0.84,0.5445,44.0,1.0,-4.260996385,13.5,2050.0,50.25,47.5,3.5,0.0,161.5,-4.152684305,8.085,24.3235
0.6605,1350.7350000000001,332.05,0.3175,3.5,0.595,0.659,65.5,0.5,-5.4129061325,4.0,1850.0,139.25,57.5,3.0,0.8420186,133.0,-5.31513685,13.455,30.9735
0.6745,1556.7350000000001,315.15,0.21,2.5,0.5800000000000001,0.673,61.0,0.5,-6.62556983,5.5,2550.0,164.75,54.5,4.5,0.0,135.5,-6.577497355,15.855,29.7035
0.6425000000000001,1145.62,295.65,0.225,5.0,0.635,0.641,68.5,1.0,-3.71303897,3.0,1250.0,97.25,81.65,2.5,0.0,133.5,-3.646537205,12.155000000000001,32.6385
0.534,1351.7350000000001,291.84000000000003,0.2675,0.0,0.77,0.5325,54.0,0.5,-4.154528432499999,3.5,2050.0,71.75,47.5,3.0,0.0,158.0,-4.036032479999999,15.305,25.593
